UNIQUE-ID	NAME	REACTION-EQUATION	PATHWAYS	PATHWAYS	PATHWAYS	PATHWAYS	COFACTORS	COFACTORS	COFACTORS	COFACTORS	ACTIVATORS	ACTIVATORS	ACTIVATORS	ACTIVATORS	INHIBITORS	INHIBITORS	INHIBITORS	INHIBITORS	SUBUNIT-COMPOSITION
ENZRXN0-5902	acyl carrier protein phosphodiesterase	a holo acyl-carrier protein + H2O  <-->  4'-phosphopantetheine + an apo acyl-carrier protein + H+	PWY-6012				ZN+2	FE+2	CO+2	MG+2									1*EG11095-MONOMER
ENZRXN0-1021	1-deoxy-D-xylulose-5-phosphate synthase	pyruvate + D-glyceraldehyde 3-phosphate + H+  <-->  CO2 + 1-deoxy-D-xylulose 5-phosphate	PWY-6892	PYRIDOXSYN-PWY	NONMEVIPP-PWY		THIAMINE-PYROPHOSPHATE												2*DXS-MONOMER
COBALADENOSYLTRANS-ENZRXN	cobalamin adenosyltransferase	cob(I)alamin-[corrinoid adenosyltranferase] + ATP + H+  <-->  adenosylcob(III)alamin-[corrinoid adenosyltranferase] + triphosphate	PWY-6268																1*COBALADENOSYLTRANS-MONOMER
MCPTAR-ENZRXN	protein-glutamate methylesterase	Targlu-Me + H2O  <-->  methanol + Targlu																	1*PHOSPHO-CHEB
ENZRXN0-8591	amylomaltase	maltose + maltohexaose  <-->  maltoheptaose + D-glucopyranose													#<"Glucopyranose" class frame in ECOBASE[F] @ #x1001e3f3ef2>				1*AMYLOMALT-MONOMER
TRANSALDOLA-ENZRXN	transaldolase	D-sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate  <-->  beta-D-fructofuranose 6-phosphate + D-erythrose 4-phosphate	NONOXIPENT-PWY																1*TRANSALDOLA-MONOMER
ENZRXN0-7354	Ap<sub>4</sub>A synthetase	2 ATP + H+  <-->  P1,P4-bis(5'-adenosyl) tetraphosphate + diphosphate																	2*ENTE-MONOMER
ENZRXN0-7807	catalase	2 hydrogen peroxide  <-->  2 H2O + dioxygen	DETOX1-PWY				FE+2												2*EG11692-MONOMER
ENZRXN0-8273	enoyl-CoA hydratase	(S)-3-hydroxy-(5Z)-tetradecenoyl-CoA  <-->  (2E,5Z)-tetradec-2,5-enoyl-CoA + H2O	PWY0-1337																1*G7212-MONOMER
ENZRXN0-12568	<i>N,N</i>'-diacetylchitobiose 6'-phosphate monodeacetylase	N,N'-diacetylchitobiose 6'-phosphate + H2O  <-->  6-phospho-beta-D-glucosaminyl-(1->4)-N-acetyl-D-glucosamine + acetate	PWY0-1309																1*EG12198-MONOMER
PROPIONYL-COA-CARBOXY-ENZRXN	propionyl-CoA carboxylase	ATP + hydrogencarbonate + propanoyl-CoA  <-->  ADP + (S)-methylmalonyl-CoA + phosphate + H+	PROPIONMET-PWY				BIOTIN												1*PROPIONYL-COA-CARBOXY-MONOMER
ENZRXN0-7980	(3<i>R</i>)-3-hydroxypalmitoyl-[acyl-carrier protein] dehydratase	a (3R)-3-hydroxyhexadecanoyl-[acp]  <-->  a (2E)-hexadec-2-enoyl-[acp] + H2O	PWY-5971																6*FABZ-MONOMER
ENZRXN0-5702	methylglyoxal reductase	hydroxyacetone + NADP+  <-->  methylglyoxal + NADPH + H+	PWY-5453																1*MONOMER0-149
CHEBTSRD-ENZRXN	protein-glutamine glutaminase	Tsrgln + H2O  <-->  ammonia + Tsrglu																	1*PHOSPHO-CHEB
ENZRXN-30394	Fe-(CN)<sub>2</sub>CO cofactor assembly scaffold protein HypD	[HypC dimer]-Fe-CO2 + HypD protein  <-->  a [HypC/HypD dimer]-Fe-CO2 + HypC protein	PWY-8319				CPD-7												1*EG10486-MONOMER
ENZRXN0-8569	protein histidine autokinase	a [protein]-L-histidine + ATP  <-->  a [protein]-N-phospho-L-histidine + ADP + H+																	2*ATOS-MONOMER
