UNIQUE-ID	NAME
TU0-14531	nuoMN
TU00506	leuX
TU0-6636	atpBEFHAGDC
TU0-14105	yjaA
TU00063	rhaSR
TU0-13000	dpiBA
TU0-13637	maeB
TU0-13400	mipA
TU0-4222	rseP
TU0-14616	['ybbY', 'glxK']
TU0-8660	yrdA
TU0-7044	uvrB
TU00448	nuoABCEFGHIJKLMN
TU00104	fumA
TU0-14037	rhlB
TU0-13682	yfjD
TU0-12936	decR
TU0-42498	yibD
TU721	grxA
TU0-8704	eamA
TU0-13340	ynfL
TU00490	thrW
TU0-14512	argQ
TU0-14080	sbp
TU0-6563	ssb
TU0-12982	tfaD
TU00047	['nrdAB', 'yfaE']
TU0-13381	ydiZ
TU0-13620	['ligA', 'ypeB']
TU0-14567	['hfq', 'hflXKC']
TU0-4182	rfaDFCL
TU0-6882	ilvIH
TU0-8643	yoaE
TU00087	tyrB
TU00431	uspA
TU0-13663	yphFED
TU0-14020	yidB
TU0-42474	shiA
TU0-12916	ykiA
TU0-8687	ycgJ
TU621	dcuA
TU00474	glnB
TU0-13323	rem
TU0-14063	yihN
TU0-14490	clpPX
TU0-12964	ybcI
TU0-6509	lpp
TU863	['clsA', 'yciU']
TU00031	glpD
TU0-13365	fumD
TU0-13603	yfdONMLK
TU0-14545	['safA', 'ydeO']
TU0-4	yggN
TU0-6653	pheLA
TU0-8626	yjiR
TU00071	uvrD
TU00414	['rlmE', 'ftsH']
TU0-13646	hda
TU0-14005	xanP
TU0-42455	['gpmM', 'envC', 'yibQ']
TU0-12895	yahK
TU0-8670	ybjD
TU546	adhE
TU00456	soxR
TU0-13305	yneJ
TU0-14046	pldA
TU0-14467	glnS
TU0-12944	mscK
TU0-6442	pepD
TU788	pfkA
TU00015	cirA
TU0-13349	hdhA
TU0-13586	yfcE
TU0-14521	lacYA
TU0-36435	yjbEFGH
TU0-6623	['tesA', 'ybbO']
TU0-8608	yjcB
TU00055	purC
TU00397	treR
TU0-13628	intZ
TU0-13990	yibJ
TU0-4191	yggN
TU0-12879	ecpA
TU0-8651	yphH
TU0-13288	digH
TU00439	['upp', 'uraA']
TU0-14439	['rsmH', 'ftsLI', 'murEF', 'mraY', 'murD', 'ftsW', 'murGC', 'ddlB', 'ftsQAZ', 'lpxC']
TU0-14029	['mnmG', 'rsmG']
TU0-6301	['dinG', 'ybiB']
TU0-12926	ampG
TU0-13285	yddM
TU682	['rpmH', 'rnpA']
TU0-14429	csgDEFG
TU0-13331	['dicB', 'ydfDE', 'insD', 'intQ']
TU0-6223	['metY', 'yhbC', 'nusA', 'infB', 'rbfA', 'truB', 'rpsO', 'pnp']
TU0-14500	yajO
TU0-961	sohB
TU0-6551	gltX
TU0-13567	yfaY
TU00039	malPQ
TU0-36408	yciG
TU0-13611	tpke70
TU0-8588	yhjB
TU0-41673	bhsA
TU00378	['focA', 'pflB']
TU0-8635	ymfI
TU0-13969	yhjG
TU00423	['hscBA', 'fdx', 'iscX']
TU0-12860	['ykfA', 'yafZ']
TU0-14013	emrD
TU0-13267	ydcR
TU0-12905	yaiX
TU0-14406	hypF
TU584	degP
TU0-5781	['mutY', 'yggX']
