Object_from	Object_to	Effect	Mechanism	Link	References	Sources	Description	IF	IF_score
EG10317	G6494	-1.0	tti			RegulonDB	Strong		
EG10317	G8221	-1.0	tti			RegulonDB	Strong		
EG10317	EG10166	1.0	tti			RegulonDB	Strong		
EG10317	EG10235	-1.0	tti			RegulonDB	Strong		
EG10317	EG10317	-1.0	tti			RegulonDB	Strong		
EG10317	EG12243	-1.0	tti			RegulonDB	Weak		
EG10317	G7546	-1.0	tti			RegulonDB	Weak		
EG10317	EG10457	1.0	tti			RegulonDB	Strong		
EG10317	EG10466	1.0	tti			RegulonDB	Strong		
EG10317	EG10466	-1.0	tti			RegulonDB	Strong		
EG10317	EG11434	1.0	tti			RegulonDB	Confirmed		
EG10317	EG11435	1.0	tti			RegulonDB	Confirmed		
EG10317	EG10571	1.0	tti			RegulonDB	Confirmed		
EG10317	EG11249;EG10571	1.0	tti			RegulonDB	Confirmed		
EG10317	EG10385	1.0	tti			RegulonDB	Strong		
EG10317	EG20253	-1.0	tti			RegulonDB	Weak		
EG11366	EG11434	1.0	tti			RegulonDB	Confirmed		
EG11366	EG11435	1.0	tti			RegulonDB	Confirmed		
EG11366	EG11366	-1.0	tti			RegulonDB	Strong		
EG11042	EG11042	-1.0	tti			RegulonDB	Weak		
EG10490	EG10490	-1.0	tti			RegulonDB	Weak		
EG10490	EG10235	1.0	tti			RegulonDB	Strong		
EG10020	EG11618	1.0	tti			RegulonDB	Strong		
EG10020	EG10020	1.0	tti			RegulonDB	Strong		
EG10020	G6546	-1.0	tti			RegulonDB	Strong		
EG10020	EG11434	1.0	tti			RegulonDB	Strong		
EG10020	EG11435	1.0	tti			RegulonDB	Strong		
G6395	EG10643	1.0	tti			RegulonDB	Strong		
EG10325	EG10061	1.0	tti			RegulonDB	Strong		
EG10325	EG10061	-1.0	tti			RegulonDB	Weak		
EG10325	EG10133	1.0	tti			RegulonDB	Weak		
EG10325	G6088	1.0	tti			RegulonDB	Weak		
EG10325	G7826	1.0	tti			RegulonDB	Weak		
EG10325	G6346	-1.0	tti			RegulonDB	Weak		
